Véhicule,Immatriculation,Conducteur,Excès Vitesse (nb),Freinages Brusques,Accélérations Brusques,Incidents Totaux,Score Conduite,Niveau Risque
SOC-004,DK-7162-IQ,Moussa Diouf,0,10,0,10,80.0,🟡 Moyen
SOC-004,DK-7162-IQ,Ndèye Mbaye,2,0,0,2,93.0,🟢 Faible
SOC-004,DK-7162-IQ,Ousmane Fall,2,0,0,2,83.0,🟡 Moyen
SOC-005,DK-6497-PB,Abdou Gueye,3,0,2,5,75.0,🟡 Moyen
SOC-005,DK-6497-PB,Alioune Seck,0,6,0,6,75.0,🟡 Moyen
SOC-005,DK-6497-PB,Aminata Sy,0,7,0,7,92.0,🟢 Faible
SOC-005,DK-6497-PB,Astou Diallo,3,12,0,15,84.0,🟡 Moyen
SOC-005,DK-6497-PB,Aïssatou Ba,5,14,9,28,82.0,🟡 Moyen
SOC-005,DK-6497-PB,Babacar Sow,0,18,9,27,78.0,🟡 Moyen
SOC-005,DK-6497-PB,Cheikh Ndiaye,4,8,0,12,77.0,🟡 Moyen
SOC-005,DK-6497-PB,Fatou Sall,10,17,17,44,82.0,🟡 Moyen
SOC-005,DK-6497-PB,Ibrahima Sarr,4,4,0,8,78.0,🟡 Moyen
SOC-005,DK-6497-PB,Khadija Kane,3,2,0,5,86.0,🟢 Faible
SOC-005,DK-6497-PB,Mamadou Diop,6,4,0,10,82.0,🟡 Moyen
SOC-005,DK-6497-PB,Mariama Wade,9,8,11,28,82.0,🟡 Moyen
SOC-005,DK-6497-PB,Moussa Diouf,5,14,5,24,68.0,🔴 Élevé
SOC-005,DK-6497-PB,Ndèye Mbaye,2,4,5,11,71.0,🟡 Moyen
SOC-005,DK-6497-PB,Ousmane Fall,0,6,0,6,67.0,🔴 Élevé
SOC-006,DK-2604-SY,Abdou Gueye,5,4,3,12,81.0,🟡 Moyen
SOC-006,DK-2604-SY,Alioune Seck,0,6,2,8,80.0,🟡 Moyen
SOC-006,DK-2604-SY,Aminata Sy,2,0,1,3,77.0,🟡 Moyen
SOC-006,DK-2604-SY,Astou Diallo,4,0,0,4,96.0,🟢 Faible
SOC-006,DK-2604-SY,Aïssatou Ba,4,0,4,8,76.0,🟡 Moyen
SOC-006,DK-2604-SY,Babacar Sow,5,4,6,15,85.0,🟢 Faible
SOC-006,DK-2604-SY,Cheikh Ndiaye,0,3,6,9,78.0,🟡 Moyen
SOC-006,DK-2604-SY,Fatou Sall,3,17,11,31,68.0,🔴 Élevé
SOC-006,DK-2604-SY,Ibrahima Sarr,5,2,6,13,81.0,🟡 Moyen
SOC-006,DK-2604-SY,Khadija Kane,8,14,0,22,84.0,🟡 Moyen
SOC-006,DK-2604-SY,Mamadou Diop,1,4,6,11,78.0,🟡 Moyen
SOC-006,DK-2604-SY,Mariama Wade,3,21,1,25,78.0,🟡 Moyen
SOC-006,DK-2604-SY,Ndèye Mbaye,0,5,0,5,100.0,🟢 Faible
SOC-006,DK-2604-SY,Ousmane Fall,0,4,4,8,90.0,🟢 Faible
SOC-007,DK-8504-WU,Abdou Gueye,0,16,4,20,83.0,🟡 Moyen
SOC-007,DK-8504-WU,Alioune Seck,2,8,9,19,74.0,🟡 Moyen
SOC-007,DK-8504-WU,Aminata Sy,0,2,11,13,66.0,🔴 Élevé
SOC-007,DK-8504-WU,Astou Diallo,0,0,3,3,86.0,🟢 Faible
SOC-007,DK-8504-WU,Aïssatou Ba,0,8,0,8,88.0,🟢 Faible
SOC-007,DK-8504-WU,Babacar Sow,8,9,11,28,79.0,🟡 Moyen
SOC-007,DK-8504-WU,Cheikh Ndiaye,0,10,6,16,86.0,🟢 Faible
SOC-007,DK-8504-WU,Fatou Sall,3,0,8,11,81.0,🟡 Moyen
SOC-007,DK-8504-WU,Ibrahima Sarr,1,6,1,8,70.0,🟡 Moyen
SOC-007,DK-8504-WU,Khadija Kane,0,2,0,2,79.0,🟡 Moyen
SOC-007,DK-8504-WU,Mamadou Diop,0,18,6,24,83.0,🟡 Moyen
SOC-007,DK-8504-WU,Mariama Wade,1,0,0,1,87.0,🟢 Faible
SOC-007,DK-8504-WU,Moussa Diouf,0,0,0,0,97.0,🟢 Faible
SOC-007,DK-8504-WU,Ndèye Mbaye,0,17,16,33,75.0,🟡 Moyen
SOC-007,DK-8504-WU,Ousmane Fall,7,6,1,14,86.0,🟢 Faible
SOC-008,DK-8462-JA,Abdou Gueye,0,0,7,7,82.0,🟡 Moyen
SOC-008,DK-8462-JA,Alioune Seck,3,13,15,31,83.0,🟡 Moyen
SOC-008,DK-8462-JA,Aminata Sy,0,0,4,4,81.0,🟡 Moyen
SOC-008,DK-8462-JA,Astou Diallo,1,17,2,20,90.0,🟢 Faible
SOC-008,DK-8462-JA,Aïssatou Ba,0,5,3,8,88.0,🟢 Faible
SOC-008,DK-8462-JA,Babacar Sow,0,3,0,3,74.0,🟡 Moyen
SOC-008,DK-8462-JA,Cheikh Ndiaye,7,13,6,26,83.0,🟡 Moyen
SOC-008,DK-8462-JA,Fatou Sall,5,8,6,19,72.0,🟡 Moyen
SOC-008,DK-8462-JA,Ibrahima Sarr,0,14,1,15,74.0,🟡 Moyen
SOC-008,DK-8462-JA,Khadija Kane,6,10,0,16,75.0,🟡 Moyen
SOC-008,DK-8462-JA,Mamadou Diop,8,14,7,29,83.0,🟡 Moyen
SOC-008,DK-8462-JA,Mariama Wade,3,8,10,21,88.0,🟢 Faible
SOC-008,DK-8462-JA,Moussa Diouf,0,3,0,3,82.0,🟡 Moyen
SOC-008,DK-8462-JA,Ndèye Mbaye,0,8,12,20,80.0,🟡 Moyen
SOC-008,DK-8462-JA,Ousmane Fall,0,0,0,0,84.0,🟡 Moyen
SOC-009,DK-9129-DE,Abdou Gueye,0,2,0,2,82.0,🟡 Moyen
SOC-009,DK-9129-DE,Alioune Seck,10,8,4,22,83.0,🟡 Moyen
SOC-009,DK-9129-DE,Aminata Sy,0,1,4,5,68.0,🔴 Élevé
SOC-009,DK-9129-DE,Astou Diallo,5,7,5,17,87.0,🟢 Faible
SOC-009,DK-9129-DE,Aïssatou Ba,5,1,6,12,87.0,🟢 Faible
SOC-009,DK-9129-DE,Babacar Sow,10,6,6,22,86.0,🟢 Faible
SOC-009,DK-9129-DE,Cheikh Ndiaye,18,6,1,25,79.0,🟡 Moyen
SOC-009,DK-9129-DE,Fatou Sall,13,30,13,56,81.0,🟡 Moyen
SOC-009,DK-9129-DE,Ibrahima Sarr,2,4,5,11,79.0,🟡 Moyen
SOC-009,DK-9129-DE,Khadija Kane,0,15,0,15,73.0,🟡 Moyen
SOC-009,DK-9129-DE,Mamadou Diop,4,0,1,5,87.0,🟢 Faible
SOC-009,DK-9129-DE,Mariama Wade,8,10,20,38,83.0,🟡 Moyen
SOC-009,DK-9129-DE,Moussa Diouf,4,8,2,14,63.0,🔴 Élevé
SOC-009,DK-9129-DE,Ndèye Mbaye,0,0,0,0,96.0,🟢 Faible
SOC-009,DK-9129-DE,Ousmane Fall,0,0,8,8,72.0,🟡 Moyen
SOC-010,DK-3338-CE,Abdou Gueye,1,0,6,7,78.0,🟡 Moyen
SOC-010,DK-3338-CE,Alioune Seck,8,0,0,8,65.0,🔴 Élevé
SOC-010,DK-3338-CE,Aminata Sy,0,6,0,6,68.0,🔴 Élevé
SOC-010,DK-3338-CE,Astou Diallo,3,15,0,18,88.0,🟢 Faible
SOC-010,DK-3338-CE,Aïssatou Ba,13,9,11,33,76.0,🟡 Moyen
SOC-010,DK-3338-CE,Babacar Sow,3,0,7,10,85.0,🟢 Faible
SOC-010,DK-3338-CE,Cheikh Ndiaye,5,3,0,8,86.0,🟢 Faible
SOC-010,DK-3338-CE,Fatou Sall,0,3,0,3,83.0,🟡 Moyen
SOC-010,DK-3338-CE,Ibrahima Sarr,4,7,5,16,89.0,🟢 Faible
SOC-010,DK-3338-CE,Khadija Kane,3,3,6,12,84.0,🟡 Moyen
SOC-010,DK-3338-CE,Mamadou Diop,0,8,4,12,75.0,🟡 Moyen
SOC-010,DK-3338-CE,Mariama Wade,3,6,0,9,77.0,🟡 Moyen
SOC-010,DK-3338-CE,Moussa Diouf,7,11,0,18,81.0,🟡 Moyen
SOC-010,DK-3338-CE,Ndèye Mbaye,5,19,10,34,71.0,🟡 Moyen
SOC-010,DK-3338-CE,Ousmane Fall,0,16,8,24,88.0,🟢 Faible
SOC-011,DK-7433-NO,Abdou Gueye,4,2,4,10,84.0,🟡 Moyen
SOC-011,DK-7433-NO,Alioune Seck,0,0,0,0,99.0,🟢 Faible
SOC-011,DK-7433-NO,Aminata Sy,3,0,3,6,78.0,🟡 Moyen
SOC-011,DK-7433-NO,Astou Diallo,3,0,4,7,71.0,🟡 Moyen
SOC-011,DK-7433-NO,Aïssatou Ba,3,11,5,19,82.0,🟡 Moyen
SOC-011,DK-7433-NO,Babacar Sow,4,1,1,6,77.0,🟡 Moyen
SOC-011,DK-7433-NO,Cheikh Ndiaye,6,12,10,28,83.0,🟡 Moyen
SOC-011,DK-7433-NO,Fatou Sall,7,22,21,50,81.0,🟡 Moyen
SOC-011,DK-7433-NO,Ibrahima Sarr,3,6,3,12,72.0,🟡 Moyen
SOC-011,DK-7433-NO,Khadija Kane,4,4,10,18,78.0,🟡 Moyen
SOC-011,DK-7433-NO,Mamadou Diop,0,5,4,9,81.0,🟡 Moyen
SOC-011,DK-7433-NO,Mariama Wade,2,10,7,19,69.0,🔴 Élevé
SOC-011,DK-7433-NO,Moussa Diouf,5,2,7,14,87.0,🟢 Faible
SOC-011,DK-7433-NO,Ndèye Mbaye,8,18,16,42,86.0,🟢 Faible
SOC-011,DK-7433-NO,Ousmane Fall,6,9,1,16,78.0,🟡 Moyen
SOC-012,DK-3068-NW,Abdou Gueye,2,1,4,7,87.0,🟢 Faible
SOC-012,DK-3068-NW,Alioune Seck,2,2,6,10,70.0,🟡 Moyen
SOC-012,DK-3068-NW,Aminata Sy,3,8,11,22,77.0,🟡 Moyen
SOC-012,DK-3068-NW,Astou Diallo,0,8,20,28,84.0,🟡 Moyen
SOC-012,DK-3068-NW,Aïssatou Ba,5,0,8,13,73.0,🟡 Moyen
SOC-012,DK-3068-NW,Babacar Sow,0,6,5,11,89.0,🟢 Faible
SOC-012,DK-3068-NW,Cheikh Ndiaye,14,5,6,25,79.0,🟡 Moyen
SOC-012,DK-3068-NW,Fatou Sall,0,7,14,21,76.0,🟡 Moyen
SOC-012,DK-3068-NW,Ibrahima Sarr,0,10,16,26,82.0,🟡 Moyen
SOC-012,DK-3068-NW,Khadija Kane,2,15,3,20,81.0,🟡 Moyen
SOC-012,DK-3068-NW,Mamadou Diop,6,5,12,23,80.0,🟡 Moyen
SOC-012,DK-3068-NW,Mariama Wade,7,17,0,24,80.0,🟡 Moyen
SOC-012,DK-3068-NW,Moussa Diouf,2,8,15,25,83.0,🟡 Moyen
SOC-012,DK-3068-NW,Ndèye Mbaye,0,0,6,6,66.0,🔴 Élevé
SOC-012,DK-3068-NW,Ousmane Fall,0,0,3,3,80.0,🟡 Moyen
SOC-013,DK-8777-SQ,Abdou Gueye,0,0,4,4,85.0,🟢 Faible
SOC-013,DK-8777-SQ,Alioune Seck,0,5,7,12,78.0,🟡 Moyen
SOC-013,DK-8777-SQ,Aminata Sy,0,4,0,4,75.0,🟡 Moyen
SOC-013,DK-8777-SQ,Astou Diallo,0,8,7,15,73.0,🟡 Moyen
SOC-013,DK-8777-SQ,Aïssatou Ba,0,16,2,18,86.0,🟢 Faible
SOC-013,DK-8777-SQ,Babacar Sow,3,15,8,26,80.0,🟡 Moyen
SOC-013,DK-8777-SQ,Cheikh Ndiaye,5,18,5,28,86.0,🟢 Faible
SOC-013,DK-8777-SQ,Fatou Sall,5,8,0,13,70.0,🟡 Moyen
SOC-013,DK-8777-SQ,Ibrahima Sarr,6,5,2,13,68.0,🔴 Élevé
SOC-013,DK-8777-SQ,Khadija Kane,9,16,9,34,77.0,🟡 Moyen
SOC-013,DK-8777-SQ,Mamadou Diop,15,15,9,39,84.0,🟡 Moyen
SOC-013,DK-8777-SQ,Mariama Wade,0,0,0,0,77.0,🟡 Moyen
SOC-013,DK-8777-SQ,Moussa Diouf,1,9,4,14,79.0,🟡 Moyen
SOC-013,DK-8777-SQ,Ndèye Mbaye,9,5,1,15,80.0,🟡 Moyen
SOC-013,DK-8777-SQ,Ousmane Fall,4,5,3,12,79.0,🟡 Moyen
SOC-014,DK-6710-OT,Abdou Gueye,0,7,4,11,70.0,🟡 Moyen
SOC-014,DK-6710-OT,Alioune Seck,1,0,11,12,83.0,🟡 Moyen
SOC-014,DK-6710-OT,Aminata Sy,1,10,0,11,82.0,🟡 Moyen
SOC-014,DK-6710-OT,Astou Diallo,0,0,0,0,71.0,🟡 Moyen
SOC-014,DK-6710-OT,Aïssatou Ba,0,0,0,0,73.0,🟡 Moyen
SOC-014,DK-6710-OT,Babacar Sow,0,6,4,10,82.0,🟡 Moyen
SOC-014,DK-6710-OT,Cheikh Ndiaye,3,26,7,36,85.0,🟢 Faible
SOC-014,DK-6710-OT,Fatou Sall,0,2,11,13,73.0,🟡 Moyen
SOC-014,DK-6710-OT,Ibrahima Sarr,4,10,0,14,92.0,🟢 Faible
SOC-014,DK-6710-OT,Khadija Kane,5,9,12,26,81.0,🟡 Moyen
SOC-014,DK-6710-OT,Mamadou Diop,0,0,1,1,69.0,🔴 Élevé
SOC-014,DK-6710-OT,Mariama Wade,0,20,4,24,81.0,🟡 Moyen
SOC-014,DK-6710-OT,Moussa Diouf,0,1,0,1,99.0,🟢 Faible
SOC-014,DK-6710-OT,Ndèye Mbaye,0,16,10,26,82.0,🟡 Moyen
SOC-014,DK-6710-OT,Ousmane Fall,0,11,7,18,89.0,🟢 Faible
SOC-015,DK-3180-MJ,Abdou Gueye,0,7,0,7,85.0,🟢 Faible
SOC-015,DK-3180-MJ,Alioune Seck,0,15,7,22,78.0,🟡 Moyen
SOC-015,DK-3180-MJ,Aminata Sy,1,2,5,8,92.0,🟢 Faible
SOC-015,DK-3180-MJ,Astou Diallo,5,0,5,10,90.0,🟢 Faible
SOC-015,DK-3180-MJ,Aïssatou Ba,2,3,4,9,76.0,🟡 Moyen
SOC-015,DK-3180-MJ,Babacar Sow,3,8,10,21,81.0,🟡 Moyen
SOC-015,DK-3180-MJ,Cheikh Ndiaye,0,9,12,21,75.0,🟡 Moyen
SOC-015,DK-3180-MJ,Fatou Sall,0,6,7,13,86.0,🟢 Faible
SOC-015,DK-3180-MJ,Ibrahima Sarr,12,21,15,48,81.0,🟡 Moyen
SOC-015,DK-3180-MJ,Khadija Kane,0,5,0,5,84.0,🟡 Moyen
SOC-015,DK-3180-MJ,Mamadou Diop,8,7,16,31,76.0,🟡 Moyen
SOC-015,DK-3180-MJ,Mariama Wade,4,8,15,27,78.0,🟡 Moyen
SOC-015,DK-3180-MJ,Moussa Diouf,0,7,12,19,78.0,🟡 Moyen
SOC-015,DK-3180-MJ,Ndèye Mbaye,0,6,17,23,74.0,🟡 Moyen
SOC-015,DK-3180-MJ,Ousmane Fall,0,6,2,8,76.0,🟡 Moyen
