Date,Véhicule,Immatriculation,Type,Modèle,Conducteur,Départ,Arrivée,Zone Départ,Zone Arrivée,Distance (km),Durée Trajet,Durée Arrêts,Nombre Arrêts,Vitesse Moy (km/h),Vitesse Max (km/h),Carburant (L),Conso Moy (L/100km),Temps Ralenti (min),Excès Vitesse (nb),Freinages Brusques,Accélérations Brusques,Score Conduite
2025-12-08,SOC-011,DK-7433-NO,Véhicule Léger,Volvo FH16,Fatou Sall,16:50,19:21,Thiaroye,Bargny,42.76,2:31:00,0:16:00,2,16.99,21.85,3.43,8.018360171862987,16,0,0,5,76
2025-12-08,SOC-011,DK-7433-NO,Véhicule Léger,Volvo FH16,Moussa Diouf,18:45,20:17,Plateau (Dakar),Thiaroye,100.81,1:32:00,1:24:00,3,65.75,79.32,8.84,8.764301385108674,10,0,2,4,85
2025-12-08,SOC-013,DK-8777-SQ,Chariot Élévateur,Volvo FH16,Moussa Diouf,12:29,13:44,Keur Massar,Almadies,80.59,1:15:00,0:00:00,0,64.47,83.85,15.97,19.810845693655367,9,1,2,0,74
2025-12-08,SOC-015,DK-3180-MJ,Camion Benne,Hyster H50,Ibrahima Sarr,11:54,14:11,Bargny,Thiaroye,129.53,2:17:00,0:00:00,0,56.73,78.28,39.86,30.77234221864213,13,0,1,5,77
2025-12-08,SOC-015,DK-3180-MJ,Camion Benne,Hyster H50,Aïssatou Ba,07:49,09:21,Thiaroye,Grand Yoff,91.25,1:32:00,1:32:00,4,59.51,76.19,28.55,31.28391595524836,30,0,0,4,81
2025-12-09,SOC-001,DK-2701-OW,Chariot Élévateur,Renault Master,Alioune Seck,09:14,11:44,Keur Massar,Port de Dakar,41.66,2:30:00,0:16:00,1,16.66,18.88,7.58,18.2060111241754,23,0,0,0,95
2025-12-09,SOC-003,DK-5264-JU,Camion Ciment,Mercedes Actros,Astou Diallo,11:44,13:39,Yeumbeul,Plateau (Dakar),98.22,1:55:00,0:40:00,2,51.25,62.1,26.64,27.126359025636376,18,3,0,0,62
2025-12-09,SOC-005,DK-6497-PB,Véhicule Léger,Hyster H50,Moussa Diouf,08:11,10:57,Plateau (Dakar),Port de Dakar,122.85,2:46:00,0:28:00,4,44.4,61.97,10.26,8.355546473419503,6,0,7,0,65
2025-12-09,SOC-005,DK-6497-PB,Véhicule Léger,Hyster H50,Cheikh Ndiaye,13:19,13:50,Port de Dakar,Parcelles Assainies,100.98,0:31:00,0:30:00,1,195.45,238.65,10.78,10.67521300266219,30,0,8,0,61
2025-12-09,SOC-007,DK-8504-WU,Camion Ciment,Mercedes Actros,Cheikh Ndiaye,10:42,10:58,Diamniadio,Yeumbeul,140.53,0:16:00,1:16:00,4,526.99,636.35,41.85,29.779613249411828,10,0,2,0,69
